,,bg,bg,bg,no_bg,no_bg,no_bg
,,A1,tau1,tau2,A1,tau1,tau2
1,59,0.43962812228397197,2.780558342341354,2.778422073805691,0.6113253644274745,2.768987065261592,2.7675004691614045
1,60,1.37000509311008,2.8121138664117433,2.823359881154966,0.5286000761584139,2.796917309572462,2.7969833544460436
1,61,0.5872807132539489,2.7799391082681173,2.7925624181671584,0.5065036661698786,2.774132903697659,2.774286120779201
1,62,0.48876263581552,2.5768676394702252,2.986216596446924,0.4883451114951416,2.642673425130917,2.9082371866580954
1,63,0.5328538022567519,2.7934746448208547,2.793104224575752,0.47843651094826467,2.7823413681778635,2.782482208512237
1,64,0.500243243265586,2.2559870490867255,3.2497759563922073,0.500944960621988,2.275095949191077,3.216965355199169
1,65,0.45940028555893575,2.842961697144694,2.84277028442699,-0.16833386675440215,2.076418722171838,2.736470709232071
1,66,0.502014441230603,2.3290848300293505,3.135544484540028,0.502630798292612,2.3537992300167834,3.096706437031271
1,67,0.5047140635389473,2.2747831467229878,3.1707968292429984,0.5053964437791661,2.2962807881452227,3.1352067033509994
1,68,0.5032185924296297,2.1590273077233815,3.3355146785457794,0.5039682843115113,2.174111235575639,3.307196332452746
1,69,0.4970179954918875,2.333289508479973,3.1919592056253134,0.4976330846041621,2.356311116781749,3.1552754944378063
1,70,0.5020944882922492,2.3297440408536385,3.1337228722286,0.502706263393687,2.3544003854817337,3.0950141052954923
1,71,0.48789275557884737,2.5835544480115504,2.988515474043779,0.48742684318433827,2.650570712382936,2.909604574238234
1,72,0.48702276429235725,2.628856701754508,2.942029578477141,0.4848786339403893,2.76077030783515,2.8018620667976495
1,73,0.4866728967754749,2.4974723069716562,3.112339554962028,0.4869299746921465,2.533769856003071,3.063306163142882
1,74,0.48909758249542484,2.5540607319036015,3.0108921640318638,0.48894102890882213,2.6094649046995504,2.942830138007873
1,75,0.5042871156016351,2.20349127189318,3.2661395786610132,0.505021881974668,2.220750407538699,3.2352573180116995
1,76,0.45400176848705515,2.776057645387023,2.7750622067169277,0.5021939198503675,2.7644616428771593,2.764956477235077
1,77,0.4707153145258754,2.7947580967987156,2.7947646059982993,0.7931634977911824,2.7837106724103187,2.7836474859200373
1,78,0.4929916291564469,2.603807748530022,2.899935736980559,0.43382451778550846,2.7440757138077663,2.747934343100456
1,79,0.49729435881253514,2.30696380414764,3.221804127296211,0.4979358812842273,2.327962860925865,3.1873491766235693
1,80,0.45899880523806635,2.7904375957256096,2.7901351023712317,0.3762986314358387,2.7760736902833645,2.78137956010032
1,81,0.5008254139531655,2.3345028657769245,3.143388920617629,0.5014271573919911,2.3588390348417194,3.105209123818036
1,82,0.4941871249368741,2.440982926868777,3.090875104468604,0.49458051876500636,2.473860428622066,3.044478424287493
1,83,0.4917227959025538,2.4274641868860547,3.1383988962161253,0.4921695775298457,2.456923221653294,3.095661622459887
1,84,0.4952043610177073,2.4334367073465972,3.087841699659857,0.49561750894388873,2.466261345907227,3.0412679241963847
1,85,0.49383779527765603,2.507237150279724,3.0114868156232846,0.4939346736399803,2.5546828674660307,2.950348268254183
1,86,0.4991086487918934,2.3731841571217758,3.1157292677961883,0.4996531084215586,2.4007611587917284,3.0741628175291864
1,87,0.48466834950646415,2.63122496355164,2.9681242082913037,0.4832832203903948,2.731410770170375,2.8586638132467166
1,88,0.5032279022527412,2.182548014108424,3.305684063593052,0.5039788522912049,2.198803625549168,3.275870107096547
1,89,0.48280403312477027,2.792422782146934,2.7932609440908034,0.48171551439553273,2.7819162185447395,2.782015720729108
1,90,0.5074875556621131,2.128998243543366,3.320713421760875,0.5082601521656964,2.143866326669991,3.2923846977978046
1,91,0.49581805062825524,2.330838436347948,3.20988016776958,0.4964362059478464,2.353178756118045,3.1740191119880765
1,92,0.49792222287273463,2.3728977751311446,3.1307482606571897,0.49847197302486795,2.399916012017133,3.0898224942965897
1,93,0.5019027919518255,2.3907165243226385,3.059060017512542,0.5023998593203121,2.42221289396358,3.0131274954457314
1,94,0.498010865383529,2.326035996997616,3.1888571576324978,0.49863205037668157,2.348762297825323,3.152471091206393
1,95,0.4913275869929332,2.4903667392146613,3.0638119756691027,0.4915598291892625,2.529724881423884,3.0112186768723856
1,96,0.5335668505794223,2.797506745409417,2.7975838251042866,0.25539655927671323,2.78189059554855,2.7880748904341908
1,97,0.5028282377384996,2.4165102279618402,3.0150398329315324,0.5032425749727094,2.4525730527383676,2.9643601700153344
1,98,0.5020632431505859,2.2848468637923287,3.190830869263777,0.5027340080948941,2.3061221809396786,3.1556653966197223
1,99,0.5038655577414178,2.26299976093215,3.196165857072431,0.5045469907082495,2.283076056546327,3.162383542076307
2,0,0.497565736600867,2.40551488247937,3.0939445809616664,0.49804143975995907,2.4359058394058453,3.049672683082166
2,1,0.4903668342111794,2.498196707966263,3.0657889273440158,0.49057404568666363,2.5381059620196433,3.0128087347857435
2,2,0.48799182564682897,2.6243745817354993,2.935720179471091,0.4855936318070797,2.7678066908117294,2.784139249846878
2,3,0.5043933094482173,2.2930974241094484,3.1516215627302224,0.505051680113857,2.315661142664819,3.1149813540185667
2,4,0.4939670142337955,2.4054073357056,3.138539653685091,0.4944597585083403,2.4337579466949055,3.0966346734148287
2,5,0.49347993436459847,2.341330942587401,3.225509707756943,0.49408622744739805,2.363598284817893,3.1898872999945884
2,6,0.4887990548153758,2.555247119576842,3.013081588335419,0.4886480340232886,2.6094491356192333,2.94646961415128
2,7,0.5002790214772344,2.3677913039892795,3.1080833989442516,0.5008303651712518,2.3953669709092953,3.0664338112934706
2,8,0.5035104134174335,2.2473047640242196,3.2203820721630696,0.5042121932082383,2.266564341470401,3.187380165851506
2,9,0.49339423357423706,2.4895739659815983,3.039281850213527,0.4936023297076066,2.5311593528777414,2.984173064074515
2,10,0.4991665860728524,2.3500656194125606,3.1442206855194645,0.49974824161166886,2.3751477978802527,3.1053467717303183
2,11,0.5003348971124235,2.337552629488595,3.14559591332519,0.500937894130254,2.3621763390647548,3.1070374666174434
2,12,0.502340753620604,2.3036618791863797,3.163632022160985,0.5029894233738873,2.326354620608328,3.1269488502487692
2,13,0.49558533606573796,2.4728869980576507,3.0332946596567294,0.4958447536853478,2.512896840080825,2.9795423487637094
2,14,0.47892588890182825,2.78470314501427,2.7846067268302956,0.5971795156448173,2.773619239637651,2.7735803904308645
2,15,0.5009370140669857,2.309805802768509,3.173210179926825,0.501579361352367,2.3324648514053345,3.1366495955910563
2,16,0.5039614755088664,2.2905837947325343,3.1601321174384536,0.5046231638486355,2.312818148628145,3.123866897243583
2,17,0.49390964348306726,2.615353033831248,2.8740084207151075,0.48867776819875647,2.7378688030492735,2.7378042144688077
2,18,0.49413295540469054,2.5418391951193273,2.9641250890515023,0.4939135125439185,2.603231854861038,2.8892741704191707
2,19,0.504715563115025,2.181460779315505,3.288678682822566,0.5054684517204872,2.197964903014878,3.2585268707432173
2,20,0.4968281151762206,2.4285077834161175,3.0740085565933843,0.49724453713420114,2.4616692959319124,3.026968681069846
