,,chisqr,redchi,_val,init_value,stderr,correl
0,60,146.17995568535628,1.0670069758055203,"['0.405', '1.84', '2.94']","['0.497', '2.43', '3.07']","['0.297', '0.437', '0.407']","[{'tau1': '0.721', 'tau2': '0.861'} {'A1': '0.721', 'tau2': '0.277'}
 {'A1': '0.861', 'tau1': '0.277'}]"
0,61,96.8053981970309,0.7066087459637291,"['0.687', '2.24', '3.64']","['0.497', '2.43', '3.07']","['1.94', '1.62', '5.49']","[{'tau1': '0.997', 'tau2': '0.998'} {'A1': '0.997', 'tau2': '0.991'}
 {'A1': '0.998', 'tau1': '0.991'}]"
0,62,99.16410463907508,0.7238255813071174,"['0.56', '2.22', '3.4']","['0.497', '2.43', '3.07']","['1.95', '1.78', '3.08']","[{'tau1': '0.995', 'tau2': '0.996'} {'A1': '0.995', 'tau2': '0.983'}
 {'A1': '0.996', 'tau1': '0.983'}]"
0,63,98.23274776717128,0.7118315055592122,"['0.677', '2.31', '3.42']","['0.497', '2.43', '3.07']","['1.44', '1.1', '2.8']","[{'tau1': '0.99', 'tau2': '0.991'} {'A1': '0.99', 'tau2': '0.963'}
 {'A1': '0.991', 'tau1': '0.963'}]"
0,64,122.5607634353571,0.8946041126668401,"['0.781', '2.26', '3.84']","['0.497', '2.43', '3.07']","['0.93', '0.816', '4.11']","[{'tau1': '0.99', 'tau2': '0.993'} {'A1': '0.99', 'tau2': '0.967'}
 {'A1': '0.993', 'tau1': '0.967'}]"
0,65,110.97730557502886,0.8041833737320933,"['0.134', '0.00543', '2.75']","['0.497', '2.43', '3.07']","['0.0164', '0.144', '0.0454']","[{'tau1': '0.00521', 'tau2': '0.802'} {'A1': '0.00521', 'tau2': '0.00415'}
 {'A1': '0.802', 'tau1': '0.00415'}]"
0,66,139.61570317158055,1.004429519220004,"['0.742', '2.43', '3.07']","['0.497', '2.43', '3.07']","['2.03', '0.934', '2.65']","[{'tau1': '0.957', 'tau2': '0.952'} {'A1': '0.957', 'tau2': '0.823'}
 {'A1': '0.952', 'tau1': '0.823'}]"
0,67,95.81885450307874,0.6893442770005664,"['0.716', '2.01', '4.37']","['0.497', '2.43', '3.07']","['0.664', '0.777', '4.11']","[{'tau1': '0.995', 'tau2': '0.998'} {'A1': '0.995', 'tau2': '0.988'}
 {'A1': '0.998', 'tau1': '0.988'}]"
0,68,96.01193467254879,0.690733342967977,"['0.755', '2.15', '4.14']","['0.497', '2.43', '3.07']","['3.82', '3.78', '21.4']","[{'tau1': '1', 'tau2': '1'} {'A1': '1', 'tau2': '0.999'}
 {'A1': '1', 'tau1': '0.999'}]"
0,69,115.82496425049109,0.8454376952590591,"['0.87', '2.23', '4.7']","['0.497', '2.43', '3.07']","['0.751', '0.797', '10.3']","[{'tau1': '0.995', 'tau2': '0.998'} {'A1': '0.995', 'tau2': '0.987'}
 {'A1': '0.998', 'tau1': '0.987'}]"
0,70,125.3661146105184,0.9150811285439299,"['0.587', '1.9', '3.26']","['0.497', '2.43', '3.07']","['0.263', '0.282', '0.604']","[{'tau1': '0.851', 'tau2': '0.928'} {'A1': '0.851', 'tau2': '0.603'}
 {'A1': '0.928', 'tau1': '0.603'}]"
0,71,87.6297120905199,0.6396329349672986,"['0.161', '0.0108', '2.84']","['0.497', '2.43', '3.07']","['0.0145', '0.0554', '0.0436']","[{'tau1': '0.0886', 'tau2': '0.803'} {'A1': '0.0886', 'tau2': '0.0706'}
 {'A1': '0.803', 'tau1': '0.0706'}]"
0,72,95.5640065155605,0.7026765184967684,"['0.755', '2.32', '3.54']","['0.497', '2.43', '3.07']","['0.945', '0.72', '2.7']","[{'tau1': '0.983', 'tau2': '0.985'} {'A1': '0.983', 'tau2': '0.937'}
 {'A1': '0.985', 'tau1': '0.937'}]"
0,73,196.1082998345696,1.4526540728486637,"['1.13', '2.41', '2.43']","['0.497', '2.43', '3.07']","['15.4', '0.31', '0.868']","[{'tau1': '0.982', 'tau2': '0.877'} {'A1': '0.982', 'tau2': '0.941'}
 {'A1': '0.877', 'tau1': '0.941'}]"
0,74,138.19292715292357,1.0013980228472723,"['0.177', '0.832', '2.78']","['0.497', '2.43', '3.07']","['0.0771', '0.451', '0.127']","[{'tau1': '0.87', 'tau2': '0.95'} {'A1': '0.87', 'tau2': '0.734'}
 {'A1': '0.95', 'tau1': '0.734'}]"
0,75,107.96105808534196,0.7880369203309632,"['0.875', '2.25', '4.59']","['0.497', '2.43', '3.07']","['0.781', '0.84', '9.86']","[{'tau1': '0.996', 'tau2': '0.998'} {'A1': '0.996', 'tau2': '0.988'}
 {'A1': '0.998', 'tau1': '0.988'}]"
