,,,A1,tau1,tau2
0,77,correl,"{'tau1': '0.978', 'tau2': '0.978'}","{'A1': '0.978', 'tau2': '0.914'}","{'A1': '0.978', 'tau1': '0.914'}"
0,78,_val,0.7421562288865633,2.2866263134660483,3.631869473505424
0,78,init_value,0.497,2.43,3.07
0,78,stderr,1.9494691515459142,1.4476044380852724,6.364255991845287
0,78,correl,"{'tau1': '0.996', 'tau2': '0.998'}","{'A1': '0.996', 'tau2': '0.989'}","{'A1': '0.998', 'tau1': '0.989'}"
0,79,_val,0.15171087355718194,0.007522581534081585,2.7925782390560068
0,79,init_value,0.497,2.43,3.07
0,79,stderr,0.018197201268412115,0.10094444049281479,0.05274616140510993
0,79,correl,"{'tau1': '0.0303', 'tau2': '0.805'}","{'A1': '0.0303', 'tau2': '0.0242'}","{'A1': '0.805', 'tau1': '0.0242'}"
0,80,_val,0.15051831506037172,0.05308872075023996,2.7929981208865096
0,80,init_value,0.497,2.43,3.07
0,80,stderr,0.018294672140109818,0.07274836110316713,0.05181618806699043
0,80,correl,"{'tau1': '0.353', 'tau2': '0.822'}","{'A1': '0.353', 'tau2': '0.285'}","{'A1': '0.822', 'tau1': '0.285'}"
0,81,_val,0.8224709274205488,2.3019452141301824,3.8319500982732766
0,81,init_value,0.497,2.43,3.07
0,81,stderr,0.7514607771827488,0.5972245401999354,4.01762015581601
0,81,correl,"{'tau1': '0.986', 'tau2': '0.991'}","{'A1': '0.986', 'tau2': '0.956'}","{'A1': '0.991', 'tau1': '0.956'}"
0,82,_val,0.15768747737074684,0.00688233676153871,2.8314451097949553
0,82,init_value,0.497,2.43,3.07
0,82,stderr,0.01635252909939685,0.039725600026774575,0.049205231356097424
0,82,correl,"{'tau1': '0.0067', 'tau2': '0.805'}","{'A1': '0.0067', 'tau2': '0.00533'}","{'A1': '0.805', 'tau1': '0.00533'}"
0,83,_val,0.81904500189019,2.136127997463688,4.699831119988505
0,83,init_value,0.497,2.43,3.07
0,83,stderr,0.7920755738099956,0.8556367489518003,8.566618695165772
