,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg,cont,cont,cont,cont,cont,dis,dis,dis,dis,dis,deconv,deconv,deconv,deconv,deconv
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,53,-0.08904130838570293,2.2506107534537523,2.689246162695059,True,24,0.01781568123880098,2.3586844013750836,2.742127280519353,True,21,0.6136873395704444,2.417635408839133,3.0856211846472785,True,17,-0.36654900071269075,3.006640430361782,2.802534334215977,True,77,0.497,2.43,3.07,False,17
0,54,0.6676422532389653,2.437258547807513,3.490398238473611,True,22,0.6785712727745442,2.435737490809139,3.55472214932141,True,17,0.558341858485705,2.1951848524252933,3.405371379551676,True,57,0.519526909629665,2.3198304317918166,3.2868348670516174,True,33,0.497,2.43,3.07,False,17
0,55,0.48912633652937954,2.4299998952323225,2.9565832702382355,True,15,0.5469100779709719,2.4299998232767392,3.040007965852042,True,13,0.6304994813856972,2.31256222152032,3.218367682746721,True,12,0.4962708792683608,2.4335647662997397,2.9603002197627073,True,10,0.497,2.43,3.07,False,17
0,56,0.603491919693273,2.437764787595013,3.2440028038457482,True,28,0.6380317553205023,2.4445939408709916,3.331134464185189,True,16,0.5624452783217847,2.237902680468252,3.299866404204176,True,34,0.5085905293882489,2.3732712410118775,3.1527797654070104,True,22,0.497,2.43,3.07,False,17
0,57,0.6178580492085465,2.4206537591865493,3.2329306140203258,True,18,0.6317827012993555,2.4145544967127646,3.2950190902876004,True,28,0.5828849138938831,2.2333455951092187,3.2967036499646074,True,25,0.5132626148252337,2.3504863148150963,3.1298974619209683,True,15,0.497,2.43,3.07,False,17
0,58,0.7231468267994585,2.38478101239085,3.377951365646302,True,23,0.7402811339034934,2.3868372815403758,3.4679527621049964,True,14,0.6454169950734235,2.1980497942268844,3.349729274994901,True,42,0.533147648332889,2.2532621605326004,3.1179895505645536,True,17,0.497,2.43,3.07,False,17
0,59,0.7652137023518375,2.32757569434904,3.6992750997689803,True,25,0.7979351601996405,2.349878308716671,3.877676491072918,True,28,0.5999354446766944,2.0652573479525786,3.37947404300385,True,21,0.5547975169504674,2.1474085561787173,3.260844528826236,True,11,0.5302642754629023,2.1740692842523828,3.318794392951449,True,17
0,60,0.6285357494805589,2.41189984417054,3.2269679318229283,True,20,0.6589595509889149,2.4167515718805768,3.313190978636193,True,15,0.5964448061278815,2.2315480498126408,3.29559177991076,True,29,0.5159713011778343,2.3372427969698366,3.114380299212266,True,10,0.497,2.43,3.07,False,17
0,61,0.46404645860193977,2.430000296491565,3.0662290906212033,True,25,0.5053057093106377,2.430000075910092,3.13486058947871,True,11,0.5480714681543218,2.2820511005926796,3.2443919112422,True,59,0.4932355798466667,2.4484027541727587,3.084755593129046,True,31,0.497,2.43,3.07,False,17
0,62,0.6898233880476093,2.3767230476212333,3.5677740600644805,True,24,0.7602079507116908,2.4260007651600426,3.8017893674294494,True,27,0.5623413863428578,2.1265090219211835,3.408526347251946,True,28,0.534974732744633,2.2443292542818205,3.3148144951421377,True,11,0.497,2.43,3.07,False,17
0,63,0.4306320629533101,2.4299999338617964,3.007344552668496,True,12,0.48069949452432165,2.4300000536003683,3.07752992029432,True,8,0.5552087324492667,2.2954355308493337,3.216689959002507,True,24,0.489738398629279,2.4655042957183597,3.04016906166119,True,9,0.497,2.43,3.07,False,17
